478,granat tsavorita
479,zafiro
481,rodolita
482,turmalina
483,cuarzo con rutilo
485,opalo etiopia
486,iolita
488,opal
490,piedra luna 
492,anillo granate estrella
494,cuarzo citrino
496,espinela
498,esfalerita
499,turmalina
500,turmalina
503,espinela
505,granate demantoide
506,peridoto
507,peridoto
508,"peridoto 2,65ct"
509,"peridoto  0,40ct  aprox (1u.)"
510,"aguamarina 3,20ct."
511,"esfalerita 32,70ct."
512,"sillimanite 2,60ct."
513,"granate demantoide  0,15ct."
514,granate rodolita 2ct.
515,turmalina nigeria  2ct.
517,"esfalerita 14,60ct."
518,"esfalerita  17,10ct."
519,"turmalina 0,90ct."
520,"quiastolita  13,90 gr."
521,"quiastolita  5,30 gr."
522,turquesa lot 4u
523,"rubÍ 0,80ct."
524,microclina 1ct.
525,"esfena  0,65ct."
526,"granate hessonite 1,80ct."
527,"turmalina 3,60 ct."
528,"turmalina 2,35 ct."
529,"cuarzo rosa  5,30ct,"
530,"andalucita  0,45ct."
531,"aguamarina 4,85ct."
532,meteorito 30gr.
533,"tectita libian glass 2,97 gr."
534,"tectita moldavita 4,65 gr."
535,"tectita indochinita 5,65 gr"
536,"zircÓn  1,15ct."
547,"granat espesartita 2,95 ct"
548,granate hessonita
549,"espinela 1,85ct."
550,"aguamarina 8,91"
551,"aguamarina 3,38ct"
552,"aguamarina 2,95ct"
553,granat tsavorita
554,"aguamarina 2,81ct"
555,turmalina
556,turmalina
557,granat spersatita
558,zafiro
559,"rodocrosita 44,60gr."
562,"rodocrosita 60,30gr."
563,"rodocrosita  13,10gr."
564,"rodocrosita  8,90gr."
565,"rodocrosita  17,90gr. (3u.)"
566,"rodocrosita  10,70gr."
567,"rodocrosita  41,25gr."
568,"rodocrosita  39,30gr."
569,"rodocrosita  45,40gr."
570,"rodocrosita  48,70gr."
571,"rodocrosita  51,40gr."
572,"rodocrosita  22,30gr."
573,"apatito 5,97ct"
574,"opalo ojo de gato 1,34ct"
575,"esfena o titanita1,05ct."
576,esfena o titanita 2ct.
577,"ambar 2,60ct"
578,"iolita 3,05ct."
579,iolita 2ct.
580,"granate (colour change) 1,11ct."
581,"zafiro 1,25ct."
583,"ruby 44,23 ct."
584,rubÍ 03.19ct.
585,"rub1,68."
586,"zafiro 1,68ct."
587,aguamarina
588,"zafiro 1,22ct."
589,"zafiro 1,69ct."
590,"zafiro 1,51ct."
591,"zafiro 1,32ct."
592,turmalina mozambique
593,"zafiro 1,22"
594,"zafiro 1,19"
596,granat imperial
597,tectita
598,"zafiro 1,17"
600,"zafiro 1,57"
601,"zafiro 0,81"
602,"zafiro 0,79"
603,aguamarina
604,aguamarina
605,"zafiro 0 0,85"
606,"zafiro 1,18"
607,aguamarina
608,turmalina mozambique
609,granat espesartita 
610,rodonita
611,"zafiro  1,37"
612,heliodoro
613,aguamarina
614,espinela
615,fluorita
616,apatito 
617,apatito 
618,apatito 57.53ct
619,apatito 14.56ct
620,"alejandrita 2,65"
621,"alejandrita 2,10"
622,"alejandrita 2,56"
623,"morganita 4,25"
624,"granate  mozambique 2,45"
625,"zafiro 0,77"
627,silimanita  1.76
629,"granate malaya 0,96"
630,"triplita 0,88"
631,garnet color change
632,"granate color cambio 1,73"
633,alejandrita 1 ct
634,"granate hesonita 1,4"
636,"granate hesonita 2,32"
640,peridoto 1.20
641,diÁsporo 2.10
642,cuarzo citrino 9.95
643,cuarzo citrino 4.70
644,cuarzo citrino 6
645,cuarzo citrino 10.10
647,prenita
648,orthoclas
649,orthoclas
650,turmalina
651,apatito
652,turmalina
653,ortoclasa
654,espinela 1.70
655,zircon 1
656,turmalina 2.40
657,turquesa 3.80
658,rubi 0.90
659,turmanlina 0.5
660,espinela 1.25
661,kuncita 3.90
662,zircon 1.45
663,espinela 1
664,esmeralda 2
665,cianita 1.05
666,zircon 2.10
689,quiastolita 98.75 gr
690,quiastolita 123gr
703,ambar 2.75gr
704,ambar 2.33gr
