M533,"TECTITA LIBIAN GLASS 2,97 gr."
M532,METEORITO 30gr.
F531,"AGUAMARINA 4,85ct."
F530,"ANDALUCITA  0,45ct."
F529,"CUARZO ROSA  5,30ct,"
C528,"TURMALINA 2,35 ct."
C527,"TURMALINA 3,60 ct."
F526,"GRANATE HESSONITE 1,80ct."
F525,"ESFENA  0,65ct."
F524,MICROCLINA 1ct.
F523,"RUBÍ 0,80ct."
R522,TURQUESA LOT 4u
R521,"QUIASTOLITA  5,30 gr."
R520,"QUIASTOLITA  13,90 gr."
F519,"TURMALINA 0,90ct."
F518,"ESFALERITA  17,10ct."
F517,"ESFALERITA 14,60ct."
F515,TURMALINA NIGERIA  2ct.
F512,GRANATE RODOLITA 2ct.
F513,"GRANATE DEMANTOIDE  0,15ct."
F512,"SILLIMANITE 2,60ct."
F511,"ESFALERITA 32,70ct."
F510,"AGUAMARINA 3,20ct."
F509,"PERIDOTO  0,40ct  aprox (1u.)"
F508,"PERIDOTO 2,65ct"
F507,PERIDOTO
F506,PERIDOTO
F505,GRANATE DEMANTOIDE
F504,ESPINELA
F503,ESPINELA
F500,TURMALINA
F499,TURMALINA
F498,ESFALERITA
F496,ESPINELA
F495,DIÁSPORO
R494,CUARZO CITRINO
C411,ALBITA
J492,ANILLO GRANATE ESTRELLA
C491,OPAL
C490,PIEDRA LUNA 
C489,OPAL
C488,OPAL
F486,IOLITA
C485,OPALO ETIOPIA
GCOPAET 74,OPALO ETIOPIA
C483,CUARZO CON RUTILO
F482,TURMALINA
F481,RODOLITA
C480,IOLITA
F479,ZAFIRO
F478,GRANAT TSAVORITA
C477,IOLITA
C474,IOLITA
C473,VARISCITA
C472,VARISCITA
C471,VARISCITA
C470,VARISCITA
C469,VARISCITA
C468,VARISCITA
C467,VARISCITA
C466,VARISCITA
C465,VARISCITA
C464,VARISCITA
C463,VARISCITA
C462,VARISCITA
C461,VARISCITA
C460,VARISCITA
C459,VARISCITA
C458,VARISCITA
C457,VARISCITA
C456,VARISCITA
C455,VARISCITA
C454,VARISCITA
C453,VARISCITA
C452,VARISCITA
C451,VARISCITA
C450,VARISCITA
C449,VARISCITA
C448,VARISCITA
C447,VARISCITA
C446,VARISCITA
C445,VARISCITA
K444,RUBI
F443,TURMALINA
C441,TURMALINA
F440,OPALO MEXICO
F439,ANDESINA
J438,ANILLO EUDIALITA
C437,AMBAR BURMA
C436,JADE JADEITA
C435,ZAFIRO
C434,ZAFIRO
C433,HACKMANITA
C432,UNAQUITA
C431,SODALITA
F430,cuarzo ahumado
F429,ESFALERITA
R428,OPALO ETIOPIA
K427,RUBI
C426,CRISOPRASA
C424,PIEDRA SOL ESTRELLA
C423,CIANITA
C422,GRANATE MALI
C421,ESMERALDA
F420,ZAFIRO
C419,ESPERSATITA MANDARIN
C418,ESPERSATITA
K417,RUBI
F416,OPALO MEXICO
K415,TURQUESA NATURAL
R414,AMBAR MEXICO
K413,TURQUESA NATURAL
C412,JADE GUATEMALA
C411,ALBITA
C410,JADE GUATEMALA
F409,TSAVORITA
F408,TURMALINA
F407,AMETRINO
F406,ZAFIRO
F403,IOLITA
C402,AGUAMARINA
C399,GRANDIDIERITA
F398,GRANDIDIERITA
C397,HESONITA
F396,OPALO MEXICO
C394,CUARZO ROSA
C393,AMATISTA
F392,AMETRINO
K389,CARVING FLOR
C388,OPALO MEXICO
C387,OPALO MEXICO
C386,PIEDRA LUNA
C385,JADE GUATEMALA
R384,AMBAR MEXICO
R383,AMATISTA
R382,AMATISTA
R381,AMATISTA
F380,TURMALINA
C378,CUARZO CON INCLUSIONES
,CUARZO ROSA
CARUB 134,RUBI
CAQMA 136,AMATISTA FLOR
ACQRO 137,FLOR CUARZO ROSA
CAQMA 138,PEZ AMATISTA
,ZAFIRO
F371,ESFENA
F370,ESFENA
F369,ESFENA
C368,HESONITA
C367,HESONITA
C366,HESONITA
,ESPINELA
,TURMALINA
,TSAVORITA
F362,ZAFIRO
K361,MORGANITA
K360,MORGANITA
K359,MORGANITA
C356,GRANDIDIERITA
F355,GRANDIDIERITA
F354,GRANDIDIERITA
F353,GRANDIDIERITA
F352,GRANDIDIERITA
F350,AMATISTA
F349,TURMALINA
F348,RUBI
F347,RUBI
F346,ZULTANITA
F345,GRANAT TSAVORITA
F344,GRANAT MANDARIN
F343,ESFENA
F342,AXINITA
F341,PERIDOTO
F340,PERIDOTO
F339,PERIDOTO
F338,SILLIMANITA
F337,SILLIMANITA
F336,AMETRINO
F335,BYTOWNITA
F334,LABRADORITA
F333,PERIDOTO
F332,AMATISTA
R331,MORGANITA
R330,MORGANITA
R329,MORGANITA
R328,AMBAR MEJICO
R327,AMBAR MEJICO
C326,PRENHITA
C325,PRENHITA
C324,PRENHITA
GCPREN 117,PREHNITA
GCSER123,SERAFINITA
